group,names,scores,logfoldchanges,pvals,pvals_adj
0,Tuba1a,100.41595,0.95612246,0.0,0.0
0,Basp1,100.02358,0.9891807,0.0,0.0
0,Tubb2b,95.64938,0.91696817,0.0,0.0
0,Sox11,94.84971,1.4484016,0.0,0.0
0,Stmn1,92.36077,0.9381423,0.0,0.0
0,Rtn1,91.33699,1.1118761,0.0,0.0
0,Tubb3,90.00903,1.3284824,0.0,0.0
0,Uchl1,89.1125,1.0753148,0.0,0.0
0,Bhlhe22,88.97829,1.8884027,0.0,0.0
0,Rbfox1,84.91895,2.1010013,0.0,0.0
0,Zbtb18,80.98796,1.4135108,0.0,0.0
0,Tubb5,80.949,0.81426364,0.0,0.0
0,Cd24a,77.22864,1.3605658,0.0,0.0
0,Kcnq3,77.150696,1.8034558,0.0,0.0
0,Dcx,77.011925,1.2258908,0.0,0.0
0,Nsg1,76.04248,1.1274635,0.0,0.0
0,Nr2f2,75.91796,1.0001583,0.0,0.0
0,Celf2,74.42293,1.0889179,0.0,0.0
0,Olfm1,73.746254,1.2594709,0.0,0.0
0,Crmp1,72.55705,1.1164646,0.0,0.0
0,Phf20l1,72.450264,1.1514082,0.0,0.0
0,Neurod2,71.67724,1.6184944,0.0,0.0
0,Jpt1,71.246124,0.7767604,0.0,0.0
0,Nkain3,70.10799,1.6702318,0.0,0.0
0,Ccser1,69.92687,1.6782458,0.0,0.0
0,Sox4,69.71523,0.9578597,0.0,0.0
0,Bcl11b,69.42391,1.5828643,0.0,0.0
0,Myt1l,69.09673,1.3884879,0.0,0.0
0,Tmsb10,69.01824,0.6188196,0.0,0.0
0,Enc1,68.994,1.4219735,0.0,0.0
0,Mapt,68.979095,1.0542891,0.0,0.0
0,Mllt11,68.77299,1.0164521,0.0,0.0
0,Stmn2,66.69501,1.0234036,0.0,0.0
0,Frmd4b,65.87725,1.47517,0.0,0.0
0,Stmn3,65.79849,0.8196723,0.0,0.0
0,Dpysl3,65.71565,0.8184089,0.0,0.0
0,Nrep,65.14107,0.8928216,0.0,0.0
0,Fnbp1l,64.9471,0.8863944,0.0,0.0
0,Syt4,64.92387,1.4543252,0.0,0.0
0,Aplp1,64.614365,1.1690568,0.0,0.0
0,Bzw2,64.26152,0.90479314,0.0,0.0
0,Plxna2,63.63118,1.2530682,0.0,0.0
0,Hivep2,63.082493,1.2897729,0.0,0.0
0,Aff2,63.007736,1.3621322,0.0,0.0
0,Slit3,62.27331,1.4716488,0.0,0.0
0,Plxna4,62.258324,1.3907241,0.0,0.0
0,Ptms,62.253426,0.6533779,0.0,0.0
0,Igfbpl1,61.508907,1.2344296,0.0,0.0
0,Ncam1,61.161648,0.80376345,0.0,0.0
0,Sorbs2,61.0294,1.2482355,0.0,0.0
0,Ly6h,60.997467,0.91200197,0.0,0.0
0,Rprm,59.89239,1.1723772,0.0,0.0
0,Ptma,59.72683,0.52631897,0.0,0.0
0,Gm1673,59.542515,0.6303746,0.0,0.0
0,Jph4,59.514885,1.2534796,0.0,0.0
0,Elavl3,59.329563,0.9244332,0.0,0.0
0,Slc8a1,58.6562,1.1295037,0.0,0.0
0,Actg1,58.56634,0.52603555,0.0,0.0
0,Actb,58.54599,0.5171009,0.0,0.0
0,Celf4,58.24173,1.0167155,0.0,0.0
0,Stmn4,57.55062,1.0879054,0.0,0.0
0,Gng2,56.951218,0.7065628,0.0,0.0
0,Islr2,56.858677,1.4584367,0.0,0.0
0,Pcdh9,56.488583,1.1919968,0.0,0.0
0,Kcnb2,56.064114,1.2734145,0.0,0.0
0,Nrg3,55.79173,1.2222811,0.0,0.0
0,Pafah1b3,55.55676,0.7849419,0.0,0.0
0,Aff3,55.085236,1.096196,0.0,0.0
0,Clmp,54.69965,1.2674266,0.0,0.0
0,Cdk5r1,54.210815,1.0691296,0.0,0.0
0,Ptprk,54.17606,1.2044908,0.0,0.0
0,Gria2,54.136684,0.9535474,0.0,0.0
0,H2bc27,53.979736,0.8398684,0.0,0.0
0,Epha5,53.182816,1.0004703,0.0,0.0
0,Robo1,52.81289,1.3234882,0.0,0.0
0,Grin2b,52.118847,0.9558959,0.0,0.0
0,Thra,50.75956,0.6836822,0.0,0.0
0,Negr1,50.61586,0.93136334,0.0,0.0
0,Chd3,50.52792,0.91102153,0.0,0.0
0,Cadps,50.502605,0.9712115,0.0,0.0
0,Kif5c,50.474007,0.80283535,0.0,0.0
0,Auts2,50.178047,0.87075037,0.0,0.0
0,Thsd7a,49.827732,1.467684,0.0,0.0
0,Serf1,49.739983,0.65509015,0.0,0.0
0,Tcf4,49.722233,0.7182993,0.0,0.0
0,Rbfox2,49.415844,0.7235988,0.0,0.0
0,5730522E02Rik,49.000546,1.0367345,0.0,0.0
0,Ctxn1,48.783768,0.82076085,0.0,0.0
0,Ina,48.589016,1.011051,0.0,0.0
0,Cttnbp2,48.535324,0.94750625,0.0,0.0
0,Il1rapl1,48.49085,1.0056297,0.0,0.0
0,Marchf1,48.217964,1.0867833,0.0,0.0
0,Rtn4,47.63905,0.5764149,0.0,0.0
0,Map1b,47.5264,0.67163277,0.0,0.0
0,Nsg2,47.464348,0.76159424,0.0,0.0
0,Xpr1,47.373573,0.8529157,0.0,0.0
0,Ralyl,47.113705,0.9585646,0.0,0.0
0,Neurod6,47.07032,1.1926776,0.0,0.0
0,Dpysl5,46.852325,0.86964935,0.0,0.0
0,Pak5,46.825523,0.94078225,0.0,0.0
0,Dbn1,46.649006,0.7494895,0.0,0.0
0,Lrrc7,46.61264,0.97746557,0.0,0.0
0,Sh3bp5,46.571255,1.1526915,0.0,0.0
0,Kifap3,46.246304,0.6369701,0.0,0.0
0,Nell2,46.025658,0.8549194,0.0,0.0
0,Scg5,45.833687,0.7933126,0.0,0.0
0,Slit2,45.518665,1.0363162,0.0,0.0
0,Akap9,45.37152,0.69211704,0.0,0.0
0,Ntrk3,45.20043,0.8970007,0.0,0.0
0,Csnk1e,45.000874,0.7428644,0.0,0.0
0,Septin3,44.91696,0.76659423,0.0,0.0
0,Nbea,44.799934,0.75605667,0.0,0.0
0,Edil3,44.798717,0.9738467,0.0,0.0
0,Snca,44.771725,0.8573224,0.0,0.0
0,Tspan13,44.433903,0.8641874,0.0,0.0
0,Rab3a,44.295372,0.9449178,0.0,0.0
0,Frmd5,44.205124,0.9385431,0.0,0.0
0,Ppfia2,43.638477,0.88293064,0.0,0.0
0,Gap43,43.567562,0.63280857,0.0,0.0
0,Zfp57,43.3822,1.0041757,0.0,0.0
0,Glra2,43.28143,1.4182297,0.0,0.0
0,Casp3,43.124462,0.8076083,0.0,0.0
0,Actl6b,43.11535,1.103331,0.0,0.0
0,Smarca2,42.932392,0.73160267,0.0,0.0
0,Tnrc6c,42.85496,0.6431198,0.0,0.0
0,Cirbp,42.839806,0.7558539,0.0,0.0
0,Ankrd12,42.730732,0.67751485,0.0,0.0
0,Hdgfl3,42.246414,0.6109944,0.0,0.0
0,Ctnna2,41.95298,0.78794545,0.0,0.0
0,Ywhag,41.928654,0.61286896,0.0,0.0
0,Syn3,41.876602,0.9987269,0.0,0.0
